casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx	weightar	maininc	income	expenditure	hhsize
14783	5.03473130736521	847.804182811328	1184.99	1	1	1	3	3	1	3	2	2	7	.964859107216269	0	1184.98999023438	847.80419921875	3
14782	5.79355914535924	407.524521014122	808.023846153846	1	1	1	3	1	1	4	2	3	9	1.11028135630962	0	808.023864746094	407.524536132813	4
14780	3.66112084038435	250.7231835661	378.41	2	1	4	5	3	1	2	2	1	8	.7016195244216	1	378.410003662109	250.723190307617	2
14778	2.93499457947871	348.715639196669	420.1	2	1	2	3	2	2	5	2	3	1	.562464226342675	1	420.100006103516	348.715637207031	5
14775	5.98400278051898	578.201481904297	519.23	1	1	1	2	3	1	1	1	1	3	1.14677809557482	0	519.22998046875	578.201477050781	1
14770	3.94217467521599	1100.19626324774	564.61	1	1	2	1	3	2	2	2	1	11	.755480859932923	0	564.609985351563	1100.1962890625	2
14767	4.88789589315155	218.228212049222	399.26	1	1	2	3	1	2	3	1	3	3	.936719475125343	0	399.260009765625	218.228210449219	3
14767	6.2343709840953	719.834341648103	1184.99	1	1	1	1	3	1	3	3	1	8	1.19475881721226	0	1184.98999023438	719.834350585938	3
14763	4.7085378786847	574.603975836026	570.9725	1	1	1	2	2	2	2	1	2	7	.902347191254422	0	570.972473144531	574.60400390625	2
14762	6.39921144415228	93.1	260.492	2	2	4	5	3	2	1	1	1	3	1.22634894773045	1	260.492004394531	93.0999984741211	1
14761	4.82054420719064	234.58	402.7015	2	2	4	5	3	1	2	2	1	2	.92381215522712	1	402.701507568359	234.580001831055	2
14760	3.76450969590474	706.118684158126	50	1	1	2	3	3	2	2	2	1	5	.721433030395112	0	50	706.118713378906	2
14754	5.05096485993808	314.842399225348	196.08	1	1	1	2	3	1	1	1	1	4	.967970115547437	0	196.080001831055	314.842407226563	1
14753	9.17037452101489	1175	1184.99	1	1	1	1	2	1	2	2	1	7	1.75741640080008	0	1184.98999023438	1175	2
14746	5.16029333079091	367.550275005123	829.46	1	1	1	2	2	2	3	2	2	2	.988921893177768	0	829.460021972656	367.550262451172	3
14741	3.91827717742257	428.003175259358	370.98	2	1	2	3	1	2	2	2	1	3	.750901128269403	1	370.980010986328	428.003173828125	2
14740	4.16372140329003	542.897410137746	729.39	1	1	1	1	3	2	3	1	3	9	.797938215689624	0	729.390014648438	542.897399902344	3
14737	6.83015355603886	259.033650771153	373.277435897436	1	1	1	1	2	1	1	1	1	5	1.30893496790764	0	373.277435302734	259.033660888672	1
14726	5.67392177290114	455.61884382089	529.76	1	1	1	1	3	1	2	2	1	4	1.08735397422455	0	529.760009765625	455.618835449219	2
14724	4.8881832604628	285.10709109874	377.89	2	1	2	3	1	2	3	1	3	7	.936774546379487	1	377.890014648438	285.107086181641	3
14724	5.76678978677869	522.493592668174	890.76	1	1	1	2	3	1	3	3	1	10	1.10515125941984	0	890.760009765625	522.493591308594	3
14716	4.0640151793322	234.415207241753	369.41	1	2	2	1	3	2	1	1	1	2	.778830451569001	0	369.410003662109	234.41520690918	1
14712	3.87702821604434	155.94701934557	415.09	2	1	4	5	3	1	1	1	1	4	.742996151097974	1	415.089996337891	155.947021484375	1
14710	4.19536866933555	426.256829265198	534.61	1	1	1	2	3	1	2	2	1	2	.804003117865804	0	534.609985351563	426.2568359375	2
14704	4.67035317691645	577.483946054504	1184.99	1	1	1	1	3	2	2	2	1	11	.895029450741928	0	1184.98999023438	577.483947753906	2
14704	4.03681138208772	1137.77471879786	649.1475	1	1	4	5	3	1	3	2	2	2	.773617098577589	0	649.147521972656	1137.77465820313	3
14703	3.76179465367824	581.593929889116	582.144	2	1	4	5	3	1	2	2	1	9	.720912717977472	1	582.143981933594	581.593933105469	2
14700	4.75928705907989	64.41	101.35	2	2	4	5	1	2	1	1	1	10	.912072796435463	1	101.349998474121	64.4100036621094	1
14694	3.43235129784113	646.052648385988	930.3	1	1	1	1	3	1	5	2	3	4	.657777983910069	0	930.299987792969	646.052673339844	5
14693	6.36509599854179	688.485258974204	1184.99	1	1	4	5	3	2	3	3	1	6	1.21981104205396	0	1184.98999023438	688.485229492188	3
